type,time
with_protection,0.9145
with_protection,0.8942
with_protection,0.9216
with_protection,0.9112
with_protection,0.9143
with_protection,0.9302
with_protection,0.9051
with_protection,0.9031
with_protection,0.9046
with_protection,0.9046
with_protection,0.9294
with_protection,0.9059
with_protection,0.9192
with_protection,0.8993
with_protection,0.9145
with_protection,0.9133
with_protection,0.8999
with_protection,0.9266
with_protection,0.8947
with_protection,0.8923
with_protection,0.902
with_protection,0.9064
with_protection,0.8851
with_protection,0.9027
with_protection,0.9062
with_protection,0.9129
with_protection,0.9044
with_protection,0.8962
with_protection,0.9162
without_protection,0.5704
without_protection,0.564
without_protection,0.5587
without_protection,0.5525
without_protection,0.5584
without_protection,0.5533
without_protection,0.551
without_protection,0.5487
without_protection,0.5587
without_protection,0.5486
without_protection,0.5602
without_protection,0.5629
without_protection,0.5523
without_protection,0.5544
without_protection,0.5565
without_protection,0.5522
without_protection,0.5613
without_protection,0.5635
without_protection,0.5637
without_protection,0.5745
without_protection,0.569
without_protection,0.558
without_protection,0.5569
without_protection,0.5556
without_protection,0.5567
without_protection,0.5687
without_protection,0.5683
without_protection,0.5672
without_protection,0.5613
